referencia,descricao,gaveta,dataRetirada,horaRetirada,dataDevolucao,horaDevolucao,usuario,setor
44670102,Chave combinada 3/8,2,24/05/2023,13:59,24/05/2023,14:00,Fernando,Aero Por Trás da Aviação
44002126,Alicate diagonal corte rente p/ plastico 6,1,24/05/2023,14:06,24/05/2023,14:07,Administrador,Admin
44003106,Alicate diagonal 6,1,24/05/2023,14:06,24/05/2023,14:07,Administrador,Admin
44004181,Alicate curvo 8,1,24/05/2023,14:06,24/05/2023,14:07,Administrador,Admin
44827104,Adaptador 3/8 para 1/4,8,24/05/2023,14:26,24/05/2023,14:30,Fernando,Aero Por Trás da Aviação
44132001,Chave toco ponta chata 5x38 - 3/16x1.1/2,2,24/05/2023,14:33,24/05/2023,14:33,Fernando,Aero Por Trás da Aviação
44132001,Chave toco ponta chata 5x38 - 3/16x1.1/2,2,24/05/2023,14:33,24/05/2023,14:34,Fernando,Aero Por Trás da Aviação
44137001,Chave toco ponta cruzada 5x38 - 3/16x1.1/2,3,24/05/2023,14:35,24/05/2023,14:35,Fernando,Aero Por Trás da Aviação
44670107,Chave combinada 11/16,2,24/05/2023,14:36,24/05/2023,14:36,Fernando,Aero Por Trás da Aviação
44869109,Soquete estriado longo 3/8 - 7/8,6,24/05/2023,14:37,24/05/2023,14:37,Fernando,Aero Por Trás da Aviação
44223106,Alicate corte diagonal CuBe 6,6,24/05/2023,14:37,24/05/2023,14:37,Fernando,Aero Por Trás da Aviação
44641103,Chave catraca 9/16x5/8 - 11/16x3/4,6,24/05/2023,14:37,24/05/2023,14:37,Fernando,Aero Por Trás da Aviação
44804100,Catraca 1/4 6,4,24/05/2023,15:16,24/05/2023,15:17,Fernando,Aero Por Trás da Aviação
44670115,Chave combinada 1.1/8,4,24/05/2023,15:30,24/05/2023,15:34,Fernando,Aero Por Trás da Aviação
44004181,Alicate meia cana curvo dupla injeção,4,24/05/2023,15:36,24/05/2023,15:42,Fernando,Aero Por Trás da Aviação
44003106,Alicate diagonal 6,2,24/05/2023,16:06,24/05/2023,16:07,Fernando,Aero Por Trás da Aviação
44812106,Soquete ponta hexagonal 3/8 6mm,2,24/05/2023,16:06,24/05/2023,16:07,Fernando,Aero Por Trás da Aviação
44670107,Chave combinada 11/16,2,24/05/2023,16:06,24/05/2023,16:07,Fernando,Aero Por Trás da Aviação
44812105,Soquete ponta hexagonal 3/8 5mm,2,24/05/2023,16:06,24/05/2023,16:07,Fernando,Aero Por Trás da Aviação
44812104,Soquete ponta hexagonal 3/8 4mm,2,24/05/2023,16:06,24/05/2023,16:07,Fernando,Aero Por Trás da Aviação
44004181,Alicate curvo 8,2,24/05/2023,15:47,24/05/2023,16:07,Fernando,Aero Por Trás da Aviação
44826108,Catraca 3/8 8,2,24/05/2023,16:06,24/05/2023,16:07,Fernando,Aero Por Trás da Aviação
44812103,Soquete ponta hexagonal 3/8 3mm,2,24/05/2023,16:06,24/05/2023,16:07,Fernando,Aero Por Trás da Aviação
44052901,Chave de fenda ponta trafix 8mm,2,24/05/2023,16:36,24/05/2023,16:37,Fernando,Aero Por Trás da Aviação
44670107,Chave combinada 11/16,2,24/05/2023,16:40,24/05/2023,16:47,Fernando,Aero Por Trás da Aviação
44004181,Alicate curvo 8,2,24/05/2023,16:39,24/05/2023,16:47,Fernando,Aero Por Trás da Aviação
44229031,Chave fenda ponta cruzada CuBe Nr. 2,6,24/05/2023,16:48,24/05/2023,16:51,Fernando,Aero Por Trás da Aviação
44222008,Alicate universal CuBe 8,6,24/05/2023,16:48,24/05/2023,16:51,Fernando,Aero Por Trás da Aviação
44670115,Chave combinada 1.1/8,4,24/05/2023,17:02,24/05/2023,17:10,Administrador,Admin
44808105,Soquete sextavado longo 1/4 - 5/16,4,24/05/2023,17:10,24/05/2023,17:10,Administrador,Admin
44130030,Chave de fenda ponta chata 6x100 -1/4x4,5,24/05/2023,16:57,24/05/2023,17:11,Fernando,Aero Por Trás da Aviação
44229031,Chave fenda ponta cruzada CuBe Nr. 2,6,24/05/2023,16:51,24/05/2023,17:11,Fernando,Aero Por Trás da Aviação
44641103,Chave catraca 9/16x5/8 - 11/16x3/4,6,24/05/2023,16:51,24/05/2023,17:11,Fernando,Aero Por Trás da Aviação
44222008,Alicate universal CuBe 8,6,24/05/2023,16:51,24/05/2023,17:11,Fernando,Aero Por Trás da Aviação
44003106,Alicate diagonal 6,4,24/05/2023,17:14,24/05/2023,17:15,Administrador,Admin
44641103,Chave catraca 9/16x5/8 - 11/16x3/4,1,30/05/2023,10:16,30/05/2023,16:18,Administrador,Admin
44641101,Chave catraca 5/16x3/8 - 7/16x1/2,1,30/05/2023,10:16,30/05/2023,16:18,Administrador,Admin
44670113,Chave combinada 1,1,30/05/2023,10:16,30/05/2023,16:18,Administrador,Admin
44670111,Chave combinada 7/8,1,30/05/2023,10:16,30/05/2023,16:18,Administrador,Admin
44670107,Chave combinada 11/16,1,30/05/2023,10:16,30/05/2023,16:18,Administrador,Admin
44670105,Chave combinada 9/16,1,30/05/2023,10:16,30/05/2023,16:18,Administrador,Admin
44670104,Chave combinada 1/2,1,30/05/2023,10:16,30/05/2023,16:18,Administrador,Admin
44670102,Chave combinada 3/8,1,30/05/2023,10:16,30/05/2023,16:18,Administrador,Admin
44002126,Alicate diagonal corte rente p/ plastico 6,1,30/05/2023,10:16,30/05/2023,16:18,Administrador,Admin
44060101,Alicate para arame de segurança 9,1,30/05/2023,10:16,30/05/2023,16:18,Administrador,Admin
44804104,Extensão 1/4 4,1,30/05/2023,10:16,30/05/2023,16:18,Administrador,Admin
44003106,Alicate diagonal 6,1,30/05/2023,10:16,30/05/2023,16:18,Administrador,Admin
44004181,Alicate curvo 8,1,30/05/2023,10:16,30/05/2023,16:18,Administrador,Admin
44804100,Catraca 1/4 6,1,30/05/2023,10:16,30/05/2023,16:18,Administrador,Admin
44003106,Alicate diagonal 6,2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
44132001,Chave toco ponta chata 5x38 - 3/16x1.1/2,2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
44052904,Chave de fenda ponta chata 3mm,2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
44052902,Chave de fenda ponta trafix 10mm,2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
44052906,Chave de fenda ponta cruzada 3mm,2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
44052901,Chave de fenda ponta trafix 8mm,2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
44052905,Chave de fenda ponta cruzada 2.5mm,2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
44670107,Chave combinada 11/16,2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
44670104,Chave combinada 1/2,2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
44670102,Chave combinada 3/8,2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
44060101,Alicate para arame de segurança 9,2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
44052903,"Chave de fenda ponta chata 2,5mm",2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
44670100,Chave combinada 1/4,2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
44004181,Alicate curvo 8,2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
44804100,Catraca 1/4 6,2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
44826108,Catraca 3/8 8,2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
40670032,Martelo de borda TPU 30mm,2,30/05/2023,10:17,30/05/2023,16:22,Administrador,Admin
44003106,Alicate diagonal 6,3,30/05/2023,10:17,30/05/2023,16:23,Administrador,Admin
44641101,Chave catraca 5/16x3/8 - 7/16x1/2,3,30/05/2023,10:17,30/05/2023,16:23,Administrador,Admin
44060101,Alicate para arame de segurança 9,3,30/05/2023,10:17,30/05/2023,16:23,Administrador,Admin
44641103,Chave catraca 9/16x5/8 - 11/16x3/4,3,30/05/2023,10:17,30/05/2023,16:23,Administrador,Admin
40673037,Martelo sem retrocesso 500g,3,30/05/2023,10:17,30/05/2023,16:23,Administrador,Admin
40670032,Martelo de borda TPU 30mm,3,30/05/2023,10:17,30/05/2023,16:23,Administrador,Admin
44137001,Chave toco ponta cruzada 5x38 - 3/16x1.1/2,3,30/05/2023,10:17,30/05/2023,16:38,Administrador,Admin
44806105,Soquete sextavado 1/4 - 5/16,3,30/05/2023,10:17,30/05/2023,16:38,Administrador,Admin
44806103,Soquete sextavado 1/4 - 1/4,3,30/05/2023,10:17,30/05/2023,16:38,Administrador,Admin
44804100,Catraca 1/4 6,3,30/05/2023,10:17,30/05/2023,16:38,Administrador,Admin
44804100,Catraca 1/4 6,3,30/05/2023,10:17,30/05/2023,16:38,Administrador,Admin
44670105,Chave combinada 9/16,3,30/05/2023,10:17,30/05/2023,16:38,Administrador,Admin
44670103,Chave combinada 7/16,3,30/05/2023,10:17,30/05/2023,16:38,Administrador,Admin
44670102,Chave combinada 3/8,3,30/05/2023,10:17,30/05/2023,16:38,Administrador,Admin
44670100,Chave combinada 1/4,3,30/05/2023,10:17,30/05/2023,16:38,Administrador,Admin
44009107,Alicate para anéis internos curvo 7,3,30/05/2023,10:17,30/05/2023,16:38,Administrador,Admin
44004183,Alicate meia cana reto dupla injeção,3,30/05/2023,10:17,30/05/2023,16:38,Administrador,Admin
44008107,Alicate para anéis internos reto 7,3,30/05/2023,10:17,30/05/2023,16:38,Administrador,Admin
44670104,Chave combinada 1/2,3,30/05/2023,10:17,30/05/2023,16:38,Administrador,Admin
44670105,Chave combinada 9/16,3,30/05/2023,10:17,30/05/2023,16:38,Administrador,Admin
44011107,Alicate para anéis externos curvo 7,3,30/05/2023,10:17,30/05/2023,16:38,Administrador,Admin
44010107,Alicate para anéis externos reto 7,3,30/05/2023,10:17,30/05/2023,16:38,Administrador,Admin
44130030,Chave de fenda ponta chata 6x100 -1/4x4,5,30/05/2023,10:19,30/05/2023,16:40,Administrador,Admin
44641103,Chave catraca 9/16x5/8 - 11/16x3/4,5,30/05/2023,10:19,30/05/2023,16:40,Administrador,Admin
44135033,Chave de fenda ponta cruzada 6x250 - 1/4x10,5,30/05/2023,10:19,30/05/2023,16:40,Administrador,Admin
44135031,Chave de fenda ponta cruzada 6x150 - 1/4x6,5,30/05/2023,10:19,30/05/2023,16:40,Administrador,Admin
44641101,Chave catraca 5/16x3/8 - 7/16x1/2,5,30/05/2023,10:19,30/05/2023,16:40,Administrador,Admin
25926160,"Tesoura para costura 25,4cm 25926/160",5,30/05/2023,10:19,30/05/2023,16:40,Administrador,Admin
40670032,Martelo de borda TPU 30mm,5,30/05/2023,10:19,30/05/2023,16:40,Administrador,Admin
44670103,Chave combinada 7/16,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44670105,Chave combinada 9/16,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44670100,Chave combinada 1/4,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44670104,Chave combinada 1/2,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44204008,Chave fixa CuBe 1x1.1/8,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44204006,Chave fixa CuBe 13/16x7/8,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44204005,Chave fixa CuBe 11/16x3/4,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44670107,Chave combinada 11/16,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44670106,Chave combinada 5/8,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44201003,Chave combinada CuBe 7/16,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44201005,Chave combinada CuBe 9/16,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44201004,Chave combinada CuBe 1/2,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44201007,Chave combinada CuBe 5/8,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44201008,Chave combinada CuBe 11/16,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44204004,Chave fixa CuBe 9/16x5/8,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44201000,Chave combinada CuBe 1/4,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44204006,Chave fixa CuBe 13/16x7/8,7,30/05/2023,10:20,30/05/2023,16:43,Administrador,Admin
44060101,Alicate para arame de segurança 9,8,30/05/2023,10:21,30/05/2023,16:44,Administrador,Admin
44808108,Soquete sextavado longo 1/4 - 7/16,8,30/05/2023,10:21,30/05/2023,16:44,Administrador,Admin
44804104,Extensão 1/4 4,8,30/05/2023,10:21,30/05/2023,16:44,Administrador,Admin
44670104,Chave combinada 1/2,8,30/05/2023,10:21,30/05/2023,16:44,Administrador,Admin
44641101,Chave catraca 5/16x3/8 - 7/16x1/2,8,30/05/2023,10:21,30/05/2023,16:44,Administrador,Admin
44641103,Chave catraca 9/16x5/8 - 11/16x3/4,8,30/05/2023,10:21,30/05/2023,16:44,Administrador,Admin
44003106,Alicate diagonal 6,8,30/05/2023,10:21,30/05/2023,16:44,Administrador,Admin
44804100,Catraca 1/4 6,8,30/05/2023,10:21,30/05/2023,16:44,Administrador,Admin
44004181,Alicate curvo 8,8,30/05/2023,10:21,30/05/2023,16:44,Administrador,Admin
43158305,Trena profissional 5M,8,30/05/2023,10:21,30/05/2023,16:44,Administrador,Admin
