referencia,descricao,gaveta,dataRetirada,horaRetirada,dataDevolucao,horaDevolucao
44060101,Alicate para arame de segurança 9,4,18/05/2023,11:59,18/05/2023,12:01
44004181,Alicate meia cana curvo dupla injeção,4,18/05/2023,11:59,18/05/2023,12:01
44641103,Chave catraca 9/16x5/8 - 11/16x3/4,1,18/05/2023,12:14,18/05/2023,12:21
44641101,Chave catraca 5/16x3/8 - 7/16x1/2,1,18/05/2023,12:14,18/05/2023,12:21
44670113,Chave combinada 1,1,18/05/2023,12:14,18/05/2023,12:21
44670111,Chave combinada 7/8,1,18/05/2023,12:14,18/05/2023,12:21
44670107,Chave combinada 11/16,1,18/05/2023,12:14,18/05/2023,12:21
44670105,Chave combinada 9/16,1,18/05/2023,12:14,18/05/2023,12:21
44670104,Chave combinada 1/2,1,18/05/2023,12:14,18/05/2023,12:21
44670102,Chave combinada 3/8,1,18/05/2023,12:14,18/05/2023,12:21
44002126,Alicate diagonal corte rente p/ plastico 6,1,18/05/2023,12:14,18/05/2023,12:21
44003106,Alicate diagonal 6,1,18/05/2023,12:14,18/05/2023,12:21
44060101,Alicate para arame de segurança 9,1,18/05/2023,12:14,18/05/2023,12:21
44827104,Adaptador 3/8 para 1/4,1,18/05/2023,12:14,18/05/2023,12:21
44801101,Adaptador 1/4 para 3/8,1,18/05/2023,12:14,18/05/2023,12:21
44806106,Soquete sextavado 1/4 - 11/32,1,18/05/2023,12:14,18/05/2023,12:21
44806105,Soquete sextavado 1/4 - 5/16,1,18/05/2023,12:14,18/05/2023,12:21
44806103,Soquete sextavado 1/4 - 1/4,1,18/05/2023,12:14,18/05/2023,12:21
44804104,Extensão 1/4 4,1,18/05/2023,12:14,18/05/2023,12:21
44808108,Soquete sextavado longo 1/4 - 7/16,1,18/05/2023,12:14,18/05/2023,12:21
44808107,Soquete sextavado longo 1/4 - 3/8,1,18/05/2023,12:14,18/05/2023,12:21
44810109,Soquete estriado 1/4 - 1/2,1,18/05/2023,12:14,18/05/2023,12:21
44004181,Alicate curvo 8,1,18/05/2023,12:14,18/05/2023,12:21
44804100,Catraca 1/4 6,1,18/05/2023,12:14,18/05/2023,12:21
44130030,Chave de fenda ponta chata 6x100 - 1/4x4,1,18/05/2023,12:14,18/05/2023,12:21
44130030,Chave de fenda ponta chata 6x100 - 1/4x4,1,18/05/2023,12:14,18/05/2023,12:21
44135021,Chave de fenda ponta cruzada 5x100 - 3/16x4,1,18/05/2023,12:14,18/05/2023,12:21
44135031,Chave de fenda ponta cruzada 6x150 - 1/4x6,1,18/05/2023,12:14,18/05/2023,12:21
44052904,Chave de fenda ponta chata 3mm,2,18/05/2023,12:23,18/05/2023,12:24
44052906,Chave de fenda ponta cruzada 3mm,2,18/05/2023,12:23,18/05/2023,12:24
44052901,Chave de fenda ponta trafix 8mm,2,18/05/2023,12:23,18/05/2023,12:24
44052905,Chave de fenda ponta cruzada 2.5mm,2,18/05/2023,12:23,18/05/2023,12:24
44052902,Chave de fenda ponta trafix 10mm,2,18/05/2023,12:23,18/05/2023,12:24
44052903,"Chave de fenda ponta chata 2,5mm",2,18/05/2023,12:23,18/05/2023,12:24
44003106,Alicate diagonal 6,2,18/05/2023,12:23,18/05/2023,12:28
44132001,Chave toco ponta chata 5x38 - 3/16x1.1/2,2,18/05/2023,12:23,18/05/2023,12:28
44827104,Adaptador 3/8 para 1/4,2,18/05/2023,12:23,18/05/2023,12:28
44801101,Adaptador 1/4 para 3/8,2,18/05/2023,12:23,18/05/2023,12:28
44812108,Soquete ponta hexagonal 3/8 8mm,2,18/05/2023,12:23,18/05/2023,12:28
44812107,Soquete ponta hexagonal 3/8 7mm,2,18/05/2023,12:23,18/05/2023,12:28
44812106,Soquete ponta hexagonal 3/8 6mm,2,18/05/2023,12:23,18/05/2023,12:28
44670107,Chave combinada 11/16,2,18/05/2023,12:23,18/05/2023,12:28
44670104,Chave combinada 1/2,2,18/05/2023,12:23,18/05/2023,12:28
44670102,Chave combinada 3/8,2,18/05/2023,12:23,18/05/2023,12:28
44060101,Alicate para arame de segurança 9,2,18/05/2023,12:23,18/05/2023,12:28
44812105,Soquete ponta hexagonal 3/8 5mm,2,18/05/2023,12:23,18/05/2023,12:28
44812104,Soquete ponta hexagonal 3/8 4mm,2,18/05/2023,12:23,18/05/2023,12:28
44812103,Soquete ponta hexagonal 3/8 3mm,2,18/05/2023,12:23,18/05/2023,12:28
44808108,Soquete sextavado longo 1/4 - 7/16,2,18/05/2023,12:23,18/05/2023,12:28
44808105,Soquete sextavado longo 1/4 - 5/16,2,18/05/2023,12:23,18/05/2023,12:28
44806103,Soquete sextavado 1/4 - 1/4,2,18/05/2023,12:23,18/05/2023,12:28
44670100,Chave combinada 1/4,2,18/05/2023,12:23,18/05/2023,12:28
44004181,Alicate curvo 8,2,18/05/2023,12:23,18/05/2023,12:28
44804100,Catraca 1/4 6,2,18/05/2023,12:23,18/05/2023,12:28
44826108,Catraca 3/8 8,2,18/05/2023,12:23,18/05/2023,12:28
40670032,Martelo de borda TPU 30mm,2,18/05/2023,12:23,18/05/2023,12:28
44809105,Soquete estriado 1/4 5mm,4,18/05/2023,12:29,18/05/2023,12:30
44804104,Extensão 1/4 4,8,23/05/2023,13:23,23/05/2023,13:23
44060101,Alicate para arame de segurança 9,1,23/05/2023,9:51,23/05/2023,14:02
44003106,Alicate diagonal 6,1,23/05/2023,9:51,23/05/2023,14:02
44004181,Alicate curvo 8,1,23/05/2023,9:51,23/05/2023,14:02
44641103,Chave catraca 9/16x5/8 - 11/16x3/4,1,23/05/2023,9:51,23/05/2023,14:04
44003106,Alicate diagonal 6,1,23/05/2023,14:03,23/05/2023,14:04
44003106,Alicate diagonal 6,2,23/05/2023,9:52,23/05/2023,14:10
44132001,Chave toco ponta chata 5x38 - 3/16x1.1/2,2,23/05/2023,9:52,23/05/2023,14:10
44052904,Chave de fenda ponta chata 3mm,2,23/05/2023,9:52,23/05/2023,14:10
44052906,Chave de fenda ponta cruzada 3mm,2,23/05/2023,9:52,23/05/2023,14:10
44052901,Chave de fenda ponta trafix 8mm,2,23/05/2023,9:52,23/05/2023,14:10
44052905,Chave de fenda ponta cruzada 2.5mm,2,23/05/2023,9:52,23/05/2023,14:10
44060101,Alicate para arame de segurança 9,2,23/05/2023,9:52,23/05/2023,14:10
44052902,Chave de fenda ponta trafix 10mm,2,23/05/2023,9:52,23/05/2023,14:10
44052903,"Chave de fenda ponta chata 2,5mm",2,23/05/2023,9:52,23/05/2023,14:10
44004181,Alicate curvo 8,2,23/05/2023,9:52,23/05/2023,14:10
44826108,Catraca 3/8 8,2,23/05/2023,9:52,23/05/2023,14:10
40670032,Martelo de borda TPU 30mm,2,23/05/2023,9:52,23/05/2023,14:10
44670113,Chave combinada 1,1,23/05/2023,9:51,23/05/2023,14:12
44670111,Chave combinada 7/8,1,23/05/2023,9:51,23/05/2023,14:12
44002126,Alicate diagonal corte rente p/ plastico 6,1,23/05/2023,9:51,23/05/2023,14:12
44003106,Alicate diagonal 6,1,23/05/2023,14:11,23/05/2023,14:12
44804100,Catraca 1/4 6,1,23/05/2023,9:51,23/05/2023,14:12
44641101,Chave catraca 5/16x3/8 - 7/16x1/2,1,23/05/2023,9:51,23/05/2023,14:16
44670107,Chave combinada 11/16,1,23/05/2023,9:51,23/05/2023,14:16
44670105,Chave combinada 9/16,1,23/05/2023,9:51,23/05/2023,14:16
44670104,Chave combinada 1/2,1,23/05/2023,9:51,23/05/2023,14:16
44670102,Chave combinada 3/8,1,23/05/2023,9:51,23/05/2023,14:16
44804104,Extensão 1/4 4,1,23/05/2023,9:51,23/05/2023,14:16
44808108,Soquete sextavado longo 1/4 - 7/16,1,23/05/2023,9:51,23/05/2023,14:16
44808107,Soquete sextavado longo 1/4 - 3/8,1,23/05/2023,9:51,23/05/2023,14:16
44130030,Chave de fenda ponta chata 6x100 - 1/4x4,1,23/05/2023,9:51,23/05/2023,14:16
44130030,Chave de fenda ponta chata 6x100 - 1/4x4,1,23/05/2023,9:51,23/05/2023,14:16
44135021,Chave de fenda ponta cruzada 5x100 - 3/16x4,1,23/05/2023,9:51,23/05/2023,14:16
44135031,Chave de fenda ponta cruzada 6x150 - 1/4x6,1,23/05/2023,9:51,23/05/2023,14:16
44812108,Soquete ponta hexagonal 3/8 8mm,2,23/05/2023,9:52,23/05/2023,14:18
44812107,Soquete ponta hexagonal 3/8 7mm,2,23/05/2023,9:52,23/05/2023,14:18
44812106,Soquete ponta hexagonal 3/8 6mm,2,23/05/2023,9:52,23/05/2023,14:18
